FILE_PATH,LINE_NUMBER,ICON_TYPE,CURRENT_PADDING,ICON_POSITIONING,SEVERITY,STATUS,NEEDS_POINTER_EVENTS,FIX_ACTION
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\qr-generator\page.tsx,268-274,Search,pl-11,absolute left-3 top-1/2 -translate-y-1/2,NONE,CORRECT,YES,Already Fixed
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\retail\admin\page.tsx,208-214,Search,pl-10,absolute left-3 top-1/2 -translate-y-1/2,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\retail\cashier\page.tsx,214-221,QrCode,pl-10,absolute left-3 top-1/2 -translate-y-1/2,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\retail\cashier\page.tsx,342-349,Percent,pl-10,absolute left-3 top-1/2 -translate-y-1/2,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\retail\cashier\page.tsx,360-367,Percent,pl-10,absolute left-3 top-1/2 -translate-y-1/2,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\orders\page.tsx,168-173,Search,pl-9,absolute left-3 top-3,HIGH,NEEDS_FIXING,YES,Change pl-9 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\quality-control\capa\page.tsx,324-328,Search,pl-10,absolute left-3 top-1/2 -translate-y-1/2 transform,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\quality-control\page.tsx,432-436,Search,pl-10,absolute left-3 top-1/2 -translate-y-1/2 transform,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\sewing\operations\page.tsx,532-537,Search,pl-9,absolute left-3 top-3,HIGH,NEEDS_FIXING,YES,Change pl-9 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\sewing\page.tsx,587-594,Search,pl-9,absolute left-3 top-3,HIGH,NEEDS_FIXING,YES,Change pl-9 to pl-11 and add pointer-events-none
